Word,Meaning,Sentence,Pinyin,Translation
开玩笑 (kāi wán xiào),make fun of,别开玩笑 。,Bié kāiwánxiào.,Don't make fun of (me).
渴 (kě),thirsty,我很渴 。,Wǒ hěn kě.,I am very thirsty.
来到 (lái dào),come; arrive,我们来到学校 。,Wǒmen lái dào xuéxiào.,We arrived at school.
六 (liù),six,现在六点了 。,Xiànzài liù diǎn le.,It is six o'clock now.
楼上 (lóu shàng),upstairs,请坐楼上 。,Qǐng zuò lóu shàng.,Please sit upstairs.
楼下 (lóu xià),downstairs,弟弟在楼下 。,Dìdi zài lóu xià.,Younger brother is downstairs.
路口 (lù kǒu),intersection,车站在路口 。,Chēzhàn zài lù kǒu.,The station is at the intersection.
没什么 (méi shén me),it's nothing,没关系，没什么 。,"Méiguānxi, méi shén me.","It doesn't matter, it's nothing."
没事儿 (méi shìr),it's okay,不用说对不起，没事儿 。,"Bú yòng shuō duìbuqǐ, méi shìr.","No need to say sorry, it's okay."
妹妹 (mèi mei),younger sister,我有妹妹 。,Wǒ yǒu mèi mei.,I have a younger sister.
门口 (mén kǒu),doorway,老师在门口 。,Lǎoshī zài mén kǒu.,The teacher is at the doorway.
米饭 (mǐ fàn),steamed rice,我吃米饭 。,Wǒ chī mǐfàn.,I eat steamed rice.
面条儿 (miàn tiáor),noodles,我想吃面条儿 。,Wǒ xiǎng chī miàn tiáor.,I want to eat noodles.
明年 (míng nián),next year,明年我去北京  。,Míng nián wǒ qù Běijīng.,I will go to Beijing next year.
哪些 (nǎ xiē),which,哪些是你的书 ？,Nǎ xiē shì nǐ de shū?,Which ones are your books?
那边 (nà biān),there,电影院在那边 。,Diànyǐngyuàn zài nà biān.,The cinema is over there.
奶奶 (nǎi nai),grandma,我爱奶奶  。,Wǒ ài nǎinai.,I love grandma.
男朋友 (nán péng yǒu),boyfriend,他是我的男朋友 。,Tā shì wǒ de nán péng yǒu.,He is my boyfriend.
男人 (nán ren),man,他是个男人 。,Tā shì ge nán ren.,He is a man.
男生 (nán shēng),boy,他是个男生 。,Tā shì ge nán shēng.,He is a boy.
女孩儿 (nǚ háir),girl,那个女孩儿很好看 。,Nà ge nǚ háir hěn hǎo kàn.,That girl is very good-looking.
女人 (nǚ ren),woman,她是个女人 。,Tā shì ge nǚ ren.,She is a woman.
女生 (nǚ shēng),girl,她是个女生 。,Tā shì ge nǚ shēng.,She is a girl.
起来 (qǐ lái),get up,请起来 。,Qǐng qǐlái.,Please get up.
钱包 (qián bāo),wallet,我的钱包在家里 。,Wǒ de qián bāo zài jiā lǐ.,My wallet is at home.
请假 (qǐng jià),ask for leave,我想请假 。,Wǒ xiǎng qǐngjià.,I want to ask for leave.
请进 (qǐng jìn),please come in,请进 ！,Qǐng jìn!,Please come in!
请坐 (qǐng zuò),please have a seat,请坐 。,Qǐng zuò.,Please have a seat.
认真 (rèn zhēn),earnest,你很认真 。,Nǐ hěn rènzhēn.,You are very earnest.
日期 (rì qī),date,今天的日期是几号 ？,Jīntiān de rìqī shì jǐ hào?,What is today's date?
山 (shān),mountain,那个山很高 。,Nà ge shān hěn gāo.,That mountain is very high.
商场 (shāng chǎng),mall,我们去商场吧  。,Wǒmen qù shāng chǎng ba.,Let's go to the mall.
上边 (shàng biān),above; on,书在桌子上边 。,Shū zài zhuōzi shàng biān.,The book is on the table.
上车 (shàng chē),get on,请上车 。,Qǐng shàng chē.,Please get on the car.
上次 (shàng cì),last time,上次我没来 。,Shàng cì wǒ méi lái.,I didn't come last time.
上网 (shàng wǎng),surf the internet,我喜欢上网 。,Wǒ xǐhuan shàngwǎng.,I like to surf the internet.
身上 (shēn shàng),on one's body,钱在你身上 。,Qián zài nǐ shēn shàng.,The money is on your body.
生气 (shēng qì),get angry,妈妈生气了 。,Māma shēngqì le.,Mom got angry.
是不是 (shì bú shì),isn't it?,你是不是老师 ？,Nǐ shì bú shì lǎoshī?,Are you a teacher?
书包 (shū bāo),school bag,我的书包很大 。,Wǒ de shū bāo hěn dà.,My school bag is very big.
树 (shù),tree,那里有树 。,Nà lǐ yǒu shù.,There are trees there.
听到 (tīng dào),hear,我听到你说话了 。,Wǒ tīng dào nǐ shuō huà le.,I heard you speak.
听见 (tīng jiàn),hear,你听见我说的话吗 ？,Nǐ tīng jiàn wǒ shuō de huà ma?,Did you hear what I said?
听写 (tīng xiě),dictate,老师给我们听写汉字 。,Lǎoshī gěi wǒmen tīng xiě Hànzì.,The teacher gave us dictation (of) Chinese characters.
外语 (wài yǔ),foreign language,我想学外语 。,Wǒ xiǎng xué wài yǔ.,I want to learn a foreign language.
网上 (wǎng shàng),online,我在网上买书 。,Wǒ zài wǎng shàng mǎi shū.,I buy books online.
网友 (wǎng yǒu),net friend,她是我的网友 。,Tā shì wǒ de wǎng yǒu.,She is my net friend.
忘记 (wàng jì),forget,我忘记他的名字了 。,Wǒ wàngjì tā de míngzi le.,I forgot his name.
洗手间 (xǐ shǒu jiān),restroom,洗手间在哪儿 ？,Xǐshǒujiān zài nǎr?,Where is the restroom?
下次 (xià cì),next time,下次见 。,Xià cì jiàn.,See you next time.
小孩儿 (xiǎo háir),child; kid,小孩儿在玩儿 。,Xiǎo háir zài wánr.,The child is playing.
小朋友 (xiǎo péng yǒu),child; kid,那些小朋友很喜欢学习 。,Nà xiē xiǎo péng yǒu hěn xǐhuan xuéxí.,Those children like studying very much.
新年 (xīn nián),new year,新年好 ！,Xīn nián hǎo!,Happy New Year!
星期日 (xīng qī rì),Sunday,今天是星期日 。,Jīntiān shì Xīngqīrì.,Today is Sunday.
星期天 (xīng qī tiān),Sunday,星期天你去哪儿 ？,Xīngqītiān nǐ qù nǎr?,Where are you going on Sunday?
学院 (xué yuàn),college; academy,他在学院工作 。,Tā zài xué yuàn gōngzuò.,He works at the college.
爷爷 (yé ye),grandpa,爷爷身体很好 。,Yéye shēntǐ hěn hǎo.,Grandpa's health is very good.
页 (yè),page,这是第十页 。,Zhè shì dì shí yè.,This is page ten.
一块儿 (yí kuàir),together,我们一块儿走吧  。,Wǒmen yí kuàir zǒu ba.,Let's walk together.
一样 (yí yàng),same,这两个书包不一样 。,Zhè liǎng ge shūbāo bù yí yàng.,These two school bags are not the same.
一边 (yì biān),one side; simultaneously,他一边走一边说话 。,Tā yì biān zǒu yì biān shuō huà.,He walks while talking.
一点儿 (yī diǎnr),a little bit,请给我一点儿水 。,Qǐng gěi wǒ yī diǎnr shuǐ.,Please give me a little bit of water.
病人 (bìng rén),patient,医生在医院看病人。,Yīshēng zài yīyuàn kàn bìng rén.,The doctor is seeing patients at the hospital.
家里 (jiā lǐ),in the home,妈妈和妹妹都在家里。,Māma hé mèimei dōu zài jiā lǐ.,Mom and younger sister are both at home.
路上 (lù shang),on the road,路上有很多车。,Lù shang yǒu hěn duō chē.,There are many cars on the road.
病人 (bìng rén),patient,病人 的 身 体 很 累 。,Bìng rén de shēntǐ hěn lèi.,The patient's body is very tired.
家里 (jiā lǐ),in the home,家 里 有 很 多 人 。,Jiā lǐ yǒu hěn duō rén.,There are many people in the home.
第二 (dì èr),second,我 的 第 二 个 姐 姐 是 老 师 。,Wǒ de dì èr ge jiějie shì lǎo shī.,My second older sister is a teacher.
有些 (yǒu xiē),some,有 些 问 题 很 难 。,Yǒu xiē wèn tí hěn nán.,Some questions are very difficult.
